name,date_posted,location,department,society_name,contract_type,experience_level,contact,apply_before,Link
Alternance – Chargé.e de projet efficacité énergétique et énergies renouvelables,2020-09-17,Montreuil,93,Agence Locale de l'Energie et du Climat - Maitrisez Vot [...],Autre,Jeune diplômé(e),"
								,
								Agence Locale de l'Energie et du Climat - Maitrisez Votre Energie,
								12 boulevard Rouget de Lisle,		
								93100 
								Montreuil							,
								,
								Brigitte Corinthios, 
								Directrice,	
								recrutement@agence-mve.org 			
							",Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/mve-maitrisez-votre-energie-5/
Animateur.trice énergie – Défi Déclics,2020-09-11,SAFFRE,44,FD CIVAM 44,CDD,Jeune diplômé(e),"
								,
								FD CIVAM 44,
								4 rue de la Résistance,		
								44390 
								SAFFRE							,
								,
								Dominique GUITTON, 
								Président,	
								info@fdcivam44.org 			
							",Postulez avant le 24/09/2020,https://cler.org/outils/offresemploi/fdcivam-4/
Stage – Conception de chantiers en auto-rénovation accompagnée H/F,2020-09-16,Palaiseau,91,ALEC OUEST ESSONNE,Stage,Jeune diplômé(e),"
								,
								Marine Lecomte, 
								Conseillère énergie,	
								cie@alecoe.fr 			
							",Postulez avant le 31/12/2020,https://cler.org/outils/offresemploi/agence-locale-de-lenergie-et-du-climat-ouest-essonne-alec-ouest-essonne-5/
Technico commercial Sud est & Nord Est H/F,2020-09-04,STE HELENE DU LAC,73,SAELEN ENERGIE,CDI,1 à 3 ans,"
								,
								WILLERVAL NICOLAS, 
								PDG,	
								contact@saelen-energie.fr 			
							",Postulez avant le 31/01/2021,https://cler.org/outils/offresemploi/technico-commercial-sud-est-nord-est-hf/
Conseiller.e Énergie,2020-09-04,Luisant,28,SOliHA Normandie Seine / Agence Eure-et-Loir,CDD,Jeune diplômé(e),"
								,
								SOliHA Normandie Seine / Agence Eure-et-Loir,
								36 avenue Maurice Maunoury,		
								28600 
								Luisant							,
								,
								LEROY Sophie, 
								Directrice,	
								s.leroy@soliha.fr 			
							",Postulez avant le 31/10/2020,https://cler.org/outils/offresemploi/conseiller-e-energie-3/
Chargé.e de mission « consommation et politiques alimentaires »,2020-09-16,MONTREUIL,93,Réseau Action Climat,CDI,Jeune diplômé(e),"
								,
								Créach Morgane, 
								Directrice,	
								recrutement@reseauactionclimat.org 			
							",Postulez avant le 05/10/2020,https://cler.org/outils/offresemploi/reseau-action-climat-france-11/
Conseiller.ère Énergie pour les particuliers,2020-09-16,LORIENT,56,Agence Locale de l'Energie et du Climat,CDD,1 à 3 ans,"
								,
								Agence Locale de l'Energie et du Climat,
								6 rue de l'Aquilon,		
								56100 
								LORIENT							,
								,
								Monsieur Le Président, 
								Président,	
								pierrelerouzic@aloen.fr 			
							",Postulez avant le 22/09/2020,https://cler.org/outils/offresemploi/aloen-agence-locale-de-lenergie-de-bretagne-sud-2/
Conseiller.e Énergie,2020-09-16,Beauvais,60,Ateliers de la Bergerette,CDD,Jeune diplômé(e),"
								,
								Lionel Neukermans, 
								Co-Président,	
								embauche@ateliers-bergerette.org 			
							",Postulez avant le 15/10/2020,https://cler.org/outils/offresemploi/ateliers-de-la-bergerette-3/
Conseiller.e en rénovation thermique de l’habitat,2020-09-17,NEGREPELISSE,82,PETR du Pays Midi-Quercy,CDD,1 à 3 ans,"
								,
								PETR du Pays Midi-Quercy,
								12 Rue Marcelin Viguié,		
								82800 
								NEGREPELISSE							,
								,
								PRADIER Sandrine, 
								Chef de projet Habitat et Patrimoine,	
								habitat-paysmidiquercy@info82.com 			
							",Postulez avant le 30/10/2020,https://cler.org/outils/offresemploi/conseiller-e-en-renovation-thermique-de-lhabitat/
Médiateur.trice CIVIGAZ – Lutte contre la précarité énergétique,2020-09-17,Pantin,93,Croix-Rouge Insertion - Logiscité,CDD,Jeune diplômé(e),"
								,
								FERRERO Caroline, 
								Coordinatrice Technique,	
								caroline.ferrero@croix-rouge.fr 			
							",Postulez avant le 29/10/2020,https://cler.org/outils/offresemploi/croix-rouge-insertion-logiscite-2/
Chargé.e de mission achats d’énergie,2020-08-26,SAINT BRIEUC,22,SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,Autre,1 à 3 ans,"
								,
								SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,
								53 BD CARNOT,		
								22000 
								SAINT BRIEUC							",Postulez avant le 27/09/2020,https://cler.org/outils/offresemploi/charge-e-de-mission-achats-denergie/
2 chargé·es de mission « Maîtrise de l’énergie »,2020-08-13,Orvault (44),44,SYDELA,CDD,1 à 3 ans,"
								,
								FLAMBEAUX Etienne, 
								Responsable ingénierie service,	
								contacts@sydela.fr 			
							",Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/2-charge%c2%b7es-de-mission-maitrise-de-lenergie/
Stage – Chargé.e de développement commercial auprès des Professionnels,2020-06-19,Bordeaux,33,ENERCOOP AQUITAINE,Stage,Jeune diplômé(e),"
								,
								Lucazeau Charles, 
								Responsable Commercial Professionnels, Grands Comptes & Collectivités,	
								recrutement.aqui@enercoop.org 			
							,
					,				
					,
				",Postulez avant le 30/09/2020,https://cler.org/outils/offresemploi/stage-charge-e-de-developpement-commercial-aupres-des-professionnels/
Développeur.se WEB FULLSTACK,2020-04-28,LYON,69,EPICES Energie filiale d'HESPUL (association),CDI,3 à 5 ans,"
								,
								Philippe BACCARA, 
								Développeur Web,	
								recrutement@gederra.fr 			
							",Postulez avant le 25/09/2020,https://cler.org/outils/offresemploi/developpeur-se-web-fullstack/
Chef.fe de projet « Animation du programme ACTEE2 – Action des Collectivités Territoriales pour l’Efficacité Énergétique 2 »,2020-07-08,PARIS,75,Fédération nationale des collectivités concédantes et r [...],CDD,5 à 10 ans,"
								,
								DURAND Roselyne, 
								Assistante Administrative,	
								r.durand@fnccr.asso.fr 			
							",Postulez avant le 31/12/2023,https://cler.org/outils/offresemploi/chef-fe-de-projet-animation-du-programme-actee2-action-des-collectivites-territoriales-pour-lefficacite-energetique-2/
Chargé.e d’opérations photovoltaïque,2020-06-23,NEVERS,58,SIEEEN,CDD,1 à 3 ans,"
								,
								SERVICE RH, 
								GESTIONNAIRE RH,	
								ressources.humaines@sieeen.fr 			
							",Postulez avant le 01/10/2020,https://cler.org/outils/offresemploi/charge-e-doperations-photovoltaique/
Stage – Juriste droit des affaires F/H,2020-07-30,Paris,75,ENERCOOP,Stage,Jeune diplômé(e),"
								,
								PERROUX Alexia, 
								Chargée de Recrutement,	
								recrutement@enercoop.org 			
							",Postulez avant le 20/09/2020,https://cler.org/outils/offresemploi/stage-juriste-droit-des-affaires-fh/
