Nom,Nom_Alternatif,Ville,URL,Email
Croix-Rouge Insertion - Logiscité,Croix-Rouge Insertion - Logiscité,Pantin,https://cler.org/outils/offresemploi/croix-rouge-insertion-logiscite-2/,"
								,
								FERRERO Caroline, 
								Coordinatrice Technique,	
								caroline.ferrero@croix-rouge.fr 			
							"
Agence Locale de l'Energie et du Climat - Maitrisez Vot [...],Agence Locale de l'Energie et du Climat - Maitrisez Vot [...],Montreuil,https://cler.org/outils/offresemploi/mve-maitrisez-votre-energie-5/,"
								,
								Agence Locale de l'Energie et du Climat - Maitrisez Votre Energie,
								12 boulevard Rouget de Lisle,		
								93100 
								Montreuil							,
								,
								Brigitte Corinthios, 
								Directrice,	
								recrutement@agence-mve.org 			
							"
SAELEN ENERGIE,SAELEN ENERGIE,STE HELENE DU LAC,https://cler.org/outils/offresemploi/technico-commercial-sud-est-nord-est-hf/,"
								,
								WILLERVAL NICOLAS, 
								PDG,	
								contact@saelen-energie.fr 			
							"
FD CIVAM 44,FD CIVAM 44,SAFFRE,https://cler.org/outils/offresemploi/fdcivam-4/,"
								,
								FD CIVAM 44,
								4 rue de la Résistance,		
								44390 
								SAFFRE							,
								,
								Dominique GUITTON, 
								Président,	
								info@fdcivam44.org 			
							"
SOliHA Normandie Seine / Agence Eure-et-Loir,SOliHA Normandie Seine / Agence Eure-et-Loir,Luisant,https://cler.org/outils/offresemploi/conseiller-e-energie-3/,"
								,
								SOliHA Normandie Seine / Agence Eure-et-Loir,
								36 avenue Maurice Maunoury,		
								28600 
								Luisant							,
								,
								LEROY Sophie, 
								Directrice,	
								s.leroy@soliha.fr 			
							"
Réseau Action Climat,Réseau Action Climat,MONTREUIL,https://cler.org/outils/offresemploi/reseau-action-climat-france-11/,"
								,
								Créach Morgane, 
								Directrice,	
								recrutement@reseauactionclimat.org 			
							"
Ateliers de la Bergerette,Ateliers de la Bergerette,Beauvais,https://cler.org/outils/offresemploi/ateliers-de-la-bergerette-3/,"
								,
								Lionel Neukermans, 
								Co-Président,	
								embauche@ateliers-bergerette.org 			
							"
ALEC OUEST ESSONNE,ALEC OUEST ESSONNE,Palaiseau,https://cler.org/outils/offresemploi/agence-locale-de-lenergie-et-du-climat-ouest-essonne-alec-ouest-essonne-5/,"
								,
								Marine Lecomte, 
								Conseillère énergie,	
								cie@alecoe.fr 			
							"
PETR du Pays Midi-Quercy,PETR du Pays Midi-Quercy,NEGREPELISSE,https://cler.org/outils/offresemploi/conseiller-e-en-renovation-thermique-de-lhabitat/,"
								,
								PETR du Pays Midi-Quercy,
								12 Rue Marcelin Viguié,		
								82800 
								NEGREPELISSE							,
								,
								PRADIER Sandrine, 
								Chef de projet Habitat et Patrimoine,	
								habitat-paysmidiquercy@info82.com 			
							"
Agence Locale de l'Energie et du Climat,Agence Locale de l'Energie et du Climat,LORIENT,https://cler.org/outils/offresemploi/aloen-agence-locale-de-lenergie-de-bretagne-sud-2/,"
								,
								Agence Locale de l'Energie et du Climat,
								6 rue de l'Aquilon,		
								56100 
								LORIENT							,
								,
								Monsieur Le Président, 
								Président,	
								pierrelerouzic@aloen.fr 			
							"
